Sampling Point Id,Air Pollutant,Air Pollution Level,Year,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude
SPO-FI00363_06001_100,PM2.5,6.578,2009,Background,urban,27.6695,62.8936
SPO-FI00446_06001_100,PM2.5,7.714,2008,Traffic,urban,25.4713,65.01
SPO-FI00781_06001_100,PM2.5,7.362,2009,Background,suburban,25.1024,60.2239
SPO-FI00841_06001_100,PM2.5,8.348,2011,Traffic,urban,24.8113,60.2202
SPO-FI00841_06001_100,PM2.5,7.25,2012,Traffic,urban,24.8113,60.2202
SPO-SE0067A_06001_100,PM2.5,14.11,2008,Traffic,urban,11.9605,57.6979
SPO-SE0067A_06001_100,PM2.5,10.671,2009,Traffic,urban,11.9605,57.6979
SPO-SE0067A_06001_100,PM2.5,10.189,2011,Traffic,urban,11.9605,57.6979
SPO-SE0067A_06001_100,PM2.5,9.064,2010,Traffic,urban,11.9605,57.6979
SPO-SE0067A_06001_100,PM2.5,11.737,2007,Traffic,urban,11.9605,57.6979
SPO-SE0067A_06001_100,PM2.5,7.58,2012,Traffic,urban,11.9605,57.6979
SPO-SE0070A_06001_101,PM2.5,7.002,2011,Traffic,urban,17.6425,59.8595
SPO-SE0079A_06001_100,PM2.5,10.911,2009,Traffic,urban,12.945,57.7206
SPO-SE0083A_06001_100,PM2.5,4.293,2010,Background,urban,20.2856,63.8247
SPO-SE0075A_06001_100,PM2.5,10.411,2011,Traffic,urban,14.1586,57.7767
SPO-SE0083A_06001_100,PM2.5,4.525,2012,Background,urban,20.2856,63.8247
SPO-SE0083A_06001_100,PM2.5,4.764,2009,Background,urban,20.2856,63.8247
SPO-SE0083A_06001_100,PM2.5,4.835,2011,Background,urban,20.2856,63.8247
SPO-SE0070A_06001_101,PM2.5,5.481,2012,Traffic,urban,17.6425,59.8595
SPO-SE0070A_06001_100,PM2.5,9.873,2007,Traffic,urban,17.6425,59.8595
SPO-SE0058A_06001_100,PM2.5,17.209,2011,Traffic,urban,13.0062,55.5847
SPO-SE0058A_06001_100,PM2.5,13.693,2010,Traffic,urban,13.0062,55.5847
SPO-SE0058A_06001_100,PM2.5,12.174,2009,Traffic,urban,13.0062,55.5847
SPO-SE0001A_06001_100,PM2.5,11.081,2012,Background,urban,13.002,55.6064
SPO-SE0001A_06001_100,PM2.5,11.433,2007,Background,urban,13.002,55.6064
SPO-SE0001A_06001_100,PM2.5,13.457,2010,Background,urban,13.002,55.6064
SPO-SE0001A_06001_100,PM2.5,12.164,2009,Background,urban,13.002,55.6064
SPO-SE0001A_06001_100,PM2.5,15.814,2011,Background,urban,13.002,55.6064
SPO-SE0001A_06001_100,PM2.5,9.976,2004,Background,urban,13.002,55.6064
SPO-SE0001A_06001_100,PM2.5,12.28,2006,Background,urban,13.002,55.6064
SPO-SE0001A_06001_100,PM2.5,11.208,2008,Background,urban,13.002,55.6064
SPO-SE0001A_06001_100,PM2.5,11.149,2005,Background,urban,13.002,55.6064
SPO-SE0027A_06001_100,PM2.5,7.398,2009,Traffic,urban,18.0583,59.3408
