Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
"Finland","NET-FI016A","Kuopion verkko","FI00363","Kasarmipuisto","SPO-FI00363_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2009","6.578","ug/m3","95.06","","Background","urban","27.6695","62.8936","112.0","Kuopio                                                                          ","FI008C3                                           ","119282","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Finland","NET-FI006A","Oulun verkko","FI00446","Oulun keskusta 2","SPO-FI00446_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2008","7.714","ug/m3","99.56","","Traffic","urban","25.4713","65.0100","5.0","Oulu                                                                            ","FI004C3                                           ","205489","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Finland","NET-FI004A","Helsingin seudun verkko (HSY)","FI00781","Vartiokylä Huivipolku","SPO-FI00781_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2009","7.362","ug/m3","92.34","","Background","suburban","25.1024","60.2239","14.0","Helsinki / Helsingfors (greater city)                                           ","FI001K2                                           ","1154967","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Finland","NET-FI004A","Helsingin seudun verkko (HSY)","FI00841","Leppävaara 4","SPO-FI00841_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2011","8.348","ug/m3","97.63","","Traffic","urban","24.8113","60.2202","9.0","Helsinki / Helsingfors (greater city)                                           ","FI001K2                                           ","1154967","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Finland","NET-FI004A","Helsingin seudun verkko (HSY)","FI00841","Leppävaara 4","SPO-FI00841_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2012","7.250","ug/m3","99.07","","Traffic","urban","24.8113","60.2202","9.0","Helsinki / Helsingfors (greater city)                                           ","FI001K2                                           ","1154967","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Sweden","NET-SE0007C","Göteborgsregionens luftvårdsförbund","SE0067A","Göteborg Haga","SPO-SE0067A_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2008","14.110","ug/m3","99.92","","Traffic","urban","11.9605","57.6979","9.3","Göteborg                                                                        ","SE002K1                                           ","564039","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Sweden","NET-SE0007C","Göteborgsregionens luftvårdsförbund","SE0067A","Göteborg Haga","SPO-SE0067A_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2009","10.671","ug/m3","100.00","","Traffic","urban","11.9605","57.6979","9.3","Göteborg                                                                        ","SE002K1                                           ","564039","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Sweden","NET-SE0007C","Göteborgsregionens luftvårdsförbund","SE0067A","Göteborg Haga","SPO-SE0067A_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2011","10.189","ug/m3","98.85","","Traffic","urban","11.9605","57.6979","9.3","Göteborg                                                                        ","SE002K1                                           ","564039","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Sweden","NET-SE0007C","Göteborgsregionens luftvårdsförbund","SE0067A","Göteborg Haga","SPO-SE0067A_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2010","9.064","ug/m3","97.99","","Traffic","urban","11.9605","57.6979","9.3","Göteborg                                                                        ","SE002K1                                           ","564039","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Sweden","NET-SE0007C","Göteborgsregionens luftvårdsförbund","SE0067A","Göteborg Haga","SPO-SE0067A_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2007","11.737","ug/m3","99.97","","Traffic","urban","11.9605","57.6979","9.3","Göteborg                                                                        ","SE002K1                                           ","564039","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
